date,pillar,article_count,share_of_tracked_publishing
2026-06-07,business_finance,127243,0.3789249553305539
2026-06-07,entertainment,28762,0.0856521739130434
2026-06-07,health_wellness,42320,0.1260273972602739
2026-06-07,politics,28742,0.0855926146515783
2026-06-07,sports,65502,0.1950625372245384
2026-06-07,technology,43231,0.1287403216200119
2026-06-08,business_finance,179177,0.4038974798250755
2026-06-08,entertainment,34305,0.0773296965871692
2026-06-08,health_wellness,56215,0.1267188133988548
2026-06-08,politics,34851,0.0785604796898246
2026-06-08,sports,80091,0.1805396510527027
2026-06-08,technology,58981,0.132953879446373
2026-06-09,business_finance,188766,0.4114189317309515
2026-06-09,entertainment,33759,0.0735783547688948
2026-06-09,health_wellness,57513,0.1253506299897344
2026-06-09,politics,32898,0.0717017896023905
2026-06-09,sports,84530,0.1842346730831682
2026-06-09,technology,61351,0.1337156208248604
2026-06-10,business_finance,190410,0.4133713395002898
2026-06-10,entertainment,34562,0.0750325100352345
2026-06-10,health_wellness,57851,0.1255918563175845
2026-06-10,politics,29599,0.0642580656366213
2026-06-10,sports,88175,0.1914238635598868
2026-06-10,technology,60030,0.1303223649503828
2026-06-11,business_finance,176951,0.4056146190063587
2026-06-11,entertainment,34051,0.0780531525212376
2026-06-11,health_wellness,55175,0.1264744850477015
2026-06-11,politics,27274,0.062518624471065
2026-06-11,sports,87193,0.1998675083781466
2026-06-11,technology,55610,0.1274716105754904
2026-06-12,business_finance,124501,0.3748077056232746
2026-06-12,entertainment,27967,0.0841940795910564
2026-06-12,health_wellness,41084,0.1236825389179734
2026-06-12,politics,23049,0.0693885415130067
2026-06-12,sports,74195,0.2233625249493487
2026-06-12,technology,41377,0.1245646094053399
2026-06-13,business_finance,80864,0.3355909694555113
2026-06-13,entertainment,19244,0.0798638778220451
2026-06-13,health_wellness,29125,0.1208706839309429
2026-06-13,politics,18901,0.0784404050464807
2026-06-13,sports,64831,0.2690529548472775
2026-06-13,technology,27995,0.1161811088977423
2026-06-14,business_finance,122455,0.3718702075646456
2026-06-14,entertainment,23900,0.0725792981976647
2026-06-14,health_wellness,40490,0.1229596562352905
2026-06-14,politics,25184,0.0764785374815894
2026-06-14,sports,75889,0.2304590109172626
2026-06-14,technology,41377,0.1256532896035469
2026-06-15,business_finance,168544,0.4014271355826438
2026-06-15,entertainment,30700,0.0731192629959367
2026-06-15,health_wellness,51240,0.1220400988896351
2026-06-15,politics,29312,0.069813414883938
2026-06-15,sports,82526,0.1965550585668624
2026-06-15,technology,57540,0.1370450290809837
2026-06-16,business_finance,83368,0.4069669810399703
2026-06-16,entertainment,15184,0.07412180501044657
2026-06-16,health_wellness,24850,0.12130708999668054
2026-06-16,politics,14052,0.06859586433132213
2026-06-16,sports,38809,0.18944896803545974
2026-06-16,technology,28589,0.1395592915861207
