date,pillar,er_article_count,er_share
2026-06-05,Lifestyle & Wellness,43381,0.12656931538023897
2026-06-05,Entertainment & Pop Culture,29160,0.08507782753942435
2026-06-05,Politics & Civic Life,25299,0.07381289296707465
2026-06-06,Business & Finance,85363,0.3498139527259614
2026-06-06,Sports & Athletics,56380,0.23104284824443497
2026-06-06,Science & Technology,31002,0.12704488083139362
2026-06-06,Lifestyle & Wellness,30395,0.12455742058158215
2026-06-06,Entertainment & Pop Culture,21148,0.0866636068583418
2026-06-06,Politics & Civic Life,19736,0.08087729075828606
2026-06-07,Business & Finance,127243,0.3789249553305539
2026-06-07,Sports & Athletics,65502,0.19506253722453842
2026-06-07,Science & Technology,43231,0.12874032162001192
2026-06-07,Lifestyle & Wellness,42320,0.12602739726027398
2026-06-07,Entertainment & Pop Culture,28762,0.08565217391304347
2026-06-07,Politics & Civic Life,28742,0.08559261465157832
2026-06-08,Business & Finance,179177,0.4038974798250755
2026-06-08,Sports & Athletics,80091,0.18053965105270275
2026-06-08,Science & Technology,58981,0.13295387944637302
2026-06-08,Lifestyle & Wellness,56215,0.12671881339885488
2026-06-08,Politics & Civic Life,34851,0.07856047968982463
2026-06-08,Entertainment & Pop Culture,34305,0.0773296965871692
2026-06-09,Business & Finance,188766,0.41141893173095156
2026-06-09,Sports & Athletics,84530,0.18423467308316824
2026-06-09,Science & Technology,61351,0.13371562082486046
2026-06-09,Lifestyle & Wellness,57513,0.12535062998973448
2026-06-09,Entertainment & Pop Culture,33759,0.0735783547688948
2026-06-09,Politics & Civic Life,32898,0.0717017896023905
2026-06-10,Business & Finance,190410,0.4133713395002898
2026-06-10,Sports & Athletics,88175,0.19142386355988686
2026-06-10,Science & Technology,60030,0.13032236495038285
2026-06-10,Lifestyle & Wellness,57851,0.12559185631758452
2026-06-10,Entertainment & Pop Culture,34562,0.07503251003523458
2026-06-10,Politics & Civic Life,29599,0.06425806563662138
2026-06-11,Business & Finance,176951,0.4056146190063587
2026-06-11,Sports & Athletics,87193,0.19986750837814668
2026-06-11,Science & Technology,55610,0.12747161057549042
2026-06-11,Lifestyle & Wellness,55175,0.12647448504770156
2026-06-11,Entertainment & Pop Culture,34051,0.07805315252123762
2026-06-11,Politics & Civic Life,27274,0.06251862447106502
2026-06-12,Business & Finance,124501,0.37480770562327465
2026-06-12,Sports & Athletics,74195,0.2233625249493487
2026-06-12,Science & Technology,41377,0.12456460940533999
2026-06-12,Lifestyle & Wellness,41084,0.12368253891797347
2026-06-12,Entertainment & Pop Culture,27967,0.08419407959105647
2026-06-12,Politics & Civic Life,23049,0.06938854151300677
2026-06-13,Business & Finance,80864,0.3355909694555113
2026-06-13,Sports & Athletics,64831,0.26905295484727754
2026-06-13,Lifestyle & Wellness,29125,0.1208706839309429
2026-06-13,Science & Technology,27995,0.11618110889774236
2026-06-13,Entertainment & Pop Culture,19244,0.07986387782204515
2026-06-13,Politics & Civic Life,18901,0.07844040504648074
2026-06-14,Business & Finance,122455,0.37187020756464567
2026-06-14,Sports & Athletics,75889,0.23045901091726265
2026-06-14,Science & Technology,41377,0.12565328960354696
2026-06-14,Lifestyle & Wellness,40490,0.12295965623529055
2026-06-14,Politics & Civic Life,25184,0.07647853748158946
2026-06-14,Entertainment & Pop Culture,23900,0.0725792981976647
2026-06-15,Business & Finance,168544,0.4014271355826438
2026-06-15,Sports & Athletics,82526,0.19655505856686245
2026-06-15,Science & Technology,57540,0.13704502908098376
2026-06-15,Lifestyle & Wellness,51240,0.12204009888963517
2026-06-15,Entertainment & Pop Culture,30700,0.07311926299593675
2026-06-15,Politics & Civic Life,29312,0.06981341488393805
2026-06-16,Business & Finance,83368,0.4069669810399703
2026-06-16,Sports & Athletics,38809,0.18944896803545974
2026-06-16,Science & Technology,28589,0.1395592915861207
2026-06-16,Lifestyle & Wellness,24850,0.12130708999668054
2026-06-16,Entertainment & Pop Culture,15184,0.07412180501044657
2026-06-16,Politics & Civic Life,14052,0.06859586433132213
